id;parent_id;name;tag
448;475;Департамент обеспечения качества сети и учета ресурсов;
449;448;Отдел учета сетевых ресурсов;NULL
450;476;!Отдел лицензирования и разрешительной документации;hidden
458;0;ООО «Цифра Один»;noqst,no_ad,nomsg
464;31;Группа ремонта и подготовки оборудования;NULL
465;45;Группа телематических служб;NULL
466;0;ООО «Телеконика»;no_ad,noqst
467;0;ООО «ТДС+»;no_ad,light
469;476;!Отдел строительства;hidden
470;25;Отдел по подбору и адаптации персонала;hr,recruit_sub
471;112;Управление контроля качества;NULL
472;0;Административная дирекция;direction,function
475;0;Техническая дирекция;direction,function
476;475;Департамент строительства;NULL
477;43;Группа телефонии МО;NULL
478;43;Группа телефонии;NULL
482;43;Группа сети передачи голосовой информации и ВАТС;NULL
485;150;Отдел эксплуатации МО;tabel
487;485;Участок по подключениям и эксплуатации в г. Дедовск;hidehire,tabel,montazh
490;614;Участок по подключениям и эксплуатации САО;noqst,no_ad,nomsg,hidehire,tabel
491;485;Участок по подключениям и эксплуатации в г. Подольск;hidehire,tabel,montazh
492;485;Участок по подключениям и эксплуатации в г. Троицк;hidehire,tabel
494;485;Участок по подключениям и эксплуатации в г. Люберцы;hidehire,tabel
497;15;Группа устранения аварий г. Троицк;tabel
498;15;Группа устранения аварий г. Дедовск;tabel
499;449;Группа учета линейно-кабельных сооружений;NULL
512;45;Группа сетей доступа;NULL
518;476;!Отдел управления проектами;hidden
525;601;Отдел лицензирования;
527;608;Департамент по работе с корпоративными клиентами;b2x_dep
529;535;Отдел развития корпоративных клиентов в г. Троицк;NULL
530;527;Отдел продаж 1;NULL
531;527;!Отдел продаж в сегменте малого бизнеса;NULL
533;164;Отдел продаж операторам связи;NULL
534;527;Отдел продаж интеллектуальных услуг;NULL
535;527;Отдел развития корпоративных клиентов;NULL
555;608;Департамент комплексных проектов;NULL
563;609;Отдел продаж государственному сектору;NULL
565;608;Департамент новых продуктов;NULL
566;0;Филиал ООО «Цифра Один» в г. Тверь;direction
567;566;Отдел продаж Тверь;NULL
568;566;Финансово-расчетный отдел (Тверь);NULL
569;568;Расчетная группа Тверь;NULL
570;566;Техническая служба;NULL
571;570;Технический отдел (Тверь);NULL
572;570;Отдел эксплуатации сети (Тверь);NULL
574;566;Администрация Тверь;NULL
575;567;Офис-центр (Тверь);NULL
582;472;Административно-хозяйственный департамент;warehouse
583;582;Административно-хозяйственный отдел в г. Подольск;NULL
584;582;Административно-хозяйственный отдел в г. Дедовск;NULL
585;582;Административно-хозяйственный отдел в г. Троицк;NULL
589;601;Отдел документационного обеспечения;NULL
590;25;Отдел мотивации и кадрового администрирования;otdelkadrov,telephony,tel_hr
592;0;Финансовая дирекция;direction
594;629;Расчетный отдел в г. Троицк;NULL
595;594;!Отдел расчетов в г. Подольск;NULL
596;592;Департамент казначейства;NULL
597;592;Департамент бухгалтерского учёта и отчётности;NULL
598;629;Отдел бюджетного контроля и управленческой отчетности;NULL
599;629;Отдел технического аудита;NULL
601;0;Дирекция по правовым вопросам;direction
602;95;Операционный блок;no_ad
604;24;Группа 1С разработок;dit
607;18;Департамент продаж;NULL
608;0;Дирекция по развитию корпоративного бизнеса;direction,function,b2x_dep
609;608;Департамент по работе с госструктурами;NULL
611;609;Отдел по работе с государственным сектором;NULL
613;24;Группа ВАТС;dit
614;150;Отдел эксплуатации;tt_safekeeping_confirm,tabel
616;30;Группа технического контроля;NULL
617;195;Группа администрирования;ithelp,hidden
618;28;Группа управления инфраструктурой;ithelp
619;15;Группа устранения аварий г. Москва;tabel
620;15;Группа модернизации сети;tabel
623;485;Участок по подключениям и эксплуатации в г. Пушкино;hidehire,tabel
624;0;Телемаркетинг агент;no_ad
625;624;Алма ТВ;no_ad
626;624;СЦТС;no_ad
627;624;Открытая линия;no_ad
628;24;!Группа разработки отчётов;dit,hidden
629;592;Департамент управленческого учета и бюджетирования;NULL
632;25;Отдел по охране труда;NULL
633;555;Отдел по работе с объектами жилой недвижимости;NULL
634;555;!Отдел по работе с объектами коммерческой недвижимости;NULL
635;150;Дружба;hidden
636;0;ООО Южный телеком;NULL
637;41;Отдел обслуживания корпоративных клиентов;NULL
638;597;Отдел оборотных активов;NULL
639;597;Отдел реализации;NULL
640;596;Отдел управления ликвидностью;NULL
641;596;Отдел кредитного финансирования и корпоративных сделок;NULL
642;28;Группа управления инфраструктурой в г. Подольск;ithelp
643;0;ООО «ИТ-Телеком»;NULL
644;643;Основное производство;NULL
645;150;ИТ-Телеком;hidden
646;467;Отдел администрирования сети;light
647;467;Участок по поключениям и эксплуатации в г. Волоколамск;light
648;467;Отдел по работе с юридическими лицами;light
649;467;Отдел по работе с физическими лицами;light
650;467;Отдел бухгалтерского учета;light
651;467;Отдел управления;light
652;637;Группа претензионной работы;NULL
653;18;Департамент маркетинга и развития продуктов;direction,function
654;653;Группа по рекламе и управлению брендом;NULL
655;653;Департамент по связям с общественностью;NULL
656;653;Департамент по поддержке и управлению продуктами;NULL
657;653;Департамент по цифровому маркетингу;NULL
660;18;Служба поддержки операций;spo
661;18;Отдел информационно-справочного обслуживания клиентов;grnp,telephony,tel_grnp,hidehire,callTT_2
663;18;Группа поддержки продаж;telephony,tel_grnp,grnp2
667;660;Группа абонентского обслуживания в г. Троицк;no_pozvonit
668;660;Группа абонентского обслуживания в г. Подольск;no_pozvonit
669;660;Группа абонентского обслуживания в г. Дедовск;no_pozvonit
670;661;Группа лояльности;hidehire,callTT_2
671;661;Группа диспетчеризации;no_pozvonit,disp,hidehire,callTT_2
674;669;!Группа по архивированию документов;NULL
